id,name,description,unit_price,merchant_id,created_at,updated_at
,Darcy - Day at the Spa,"&quot;Darcy&quot; - Day at the Spa Scent.
Hand Wicked and Hand Poured, Small Batch Candles.
Natural Soy Wax.
Natural Wick. 
Reusable Tin Container.
Available in two sizes: 8 oz or 4 oz.
8 oz. Burn Time: 30-32 hours
4 oz. Burn Time: 15 hours

Due to the handmade nature of our products, there may be a slight variation in the coloring or burn time of your candle. We strive to make all of our candles with highest quality materials and utmost care.",795,12334727,2016-01-11 17:12:39 UTC,1998-12-18 19:32:09 UTC
,Eule - Archival Print,"Archival Print of my original watercolor painting 
8.5 x 11 inches Archival Print over an 11 x 14 inches matt 


- All prints are made with  high quality materials 
- Printed with pigment based archival inks.
- Printed on a 240g cotton textured archival paper. 
- Each print is signed and dated on the front. 

- In order to keep your print in great condition:
  Use acid free materials, UV glass and keep out of direct sunlight

- Shipped USPS first class in a protective sleeve with sturdy backing board in a rigid mailer. 


Visit my page to see more pictures:
www.isauraizquierdo.com/2015/12/archival-prints.html



Isaura Izquierdo ©  all rights reserved",2700,12336053,2016-01-11 19:15:19 UTC,2001-08-27 04:12:34 UTC
,"Tabletop Biofuel Fireplace, Ethanol Portable Fireplace, Campfire, Liquid fuel Fireplace, Flame","This is the liquid fuel fireplace that rests on any stable surface and provides the color, charm, and comfort of a wood-burning fire without smoke, smells, or sparks. 

Using recycled liquid ethanol fuel that gives off only water vapor and carbon dioxide, the clean-burning, portable fireplace yields a bright yellow, orange, and red 7&quot;-high flame that flickers without fumes, making it suitable for indoor or outdoor use. 

The fireplace’s stainless steel burner unit sits between 4 panes of glass.

18 cm H x 20 cm W x 20 cm D
Burner volume: 50 ml Bio-Ethanol.

What&#39;s in the box:

Circum Fireplace - 1pc.
Damper Tool - 1pc.
Fuel not included!",4990,12336363,2016-01-11 18:13:48 UTC,2008-08-04 19:15:32 UTC
,Orange Buttercream,"Shea Butter,Glycerin,Orange & Buttercream Essential Oil",500,12335731,2016-01-11 17:40:37 UTC,1994-02-07 16:19:50 UTC
,Adidas FX 10 Fußballschuh,Adidas FX 10 mit der FX Stollentechnologie. Hergestellt ab dem Jahr 1987.,5000,12334123,2016-01-11 14:06:41 UTC,2008-04-13 23:11:10 UTC
,LOVE FLIES,"LOVE FLIES - L&#39;AMORE VOLA
Con la lingua italiana dei segni-mimica",3000,12335165,2016-01-11 15:17:01 UTC,1982-07-20 20:22:50 UTC
,To Our Daughter the Kallah - Jewish Wedding Greeting Card,"Surprise your daughter with this special card on the morning of her wedding.
Overview 

- A6 Finish Size
- Blank Inside
- Nettuno 300gsm Card Stock
- Ivory White Pearl Envelope
- Peel & Seal Cello Bag

Product Code: TODTK001-15",245,12334863,2016-01-11 15:38:13 UTC,2005-09-02 16:20:26 UTC
,Adidas Nottingham Fußballschuh,Adidas Nottingham mit Nocken und den silber roten Streifen. Hergestellt ab dem Jahr 1986.,10000,12334123,2016-01-11 14:01:51 UTC,1970-07-22 10:11:58 UTC
,Owl blankie,"Cutest little owl blanket , size is small 14x14, great colors",1500,12334812,2016-01-11 18:50:54 UTC,1996-03-20 22:57:08 UTC
,Girl in Acrylic,This is a large piece; about 24x24 in. Done in acrylic. This is a picture that took quite some time and a lot of concentration.,12000,12335967,2016-01-11 19:01:46 UTC,1994-10-05 11:31:12 UTC
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
